age,gender,race,age_cat,priors_count,juv_fel_count,juv_misd_count,c_charge_degree,decile_score,two_year_recid
63,Male,African-American,Greater than 45,10,0,0,M,7,1
27,Male,African-American,25 - 45,15,1,1,F,10,1
38,Male,Caucasian,25 - 45,4,0,0,M,2,1
22,Male,African-American,Less than 25,1,0,0,F,4,1
22,Male,African-American,Less than 25,2,0,1,F,10,1
29,Male,African-American,25 - 45,4,0,0,F,9,1
62,Male,Hispanic,Greater than 45,0,0,0,M,1,0
27,Male,African-American,25 - 45,6,0,1,F,6,1
33,Male,Other,25 - 45,0,0,0,M,1,0
56,Female,African-American,Greater than 45,0,0,0,M,1,0
45,Male,Hispanic,Greater than 45,6,0,0,F,1,1
22,Male,Hispanic,Less than 25,1,0,0,F,4,0
39,Male,African-American,25 - 45,1,0,0,M,4,0
29,Male,African-American,25 - 45,5,0,0,F,6,1
27,Male,Caucasian,25 - 45,1,0,0,F,6,1
40,Male,African-American,25 - 45,2,0,0,F,2,0
22,Male,African-American,Less than 25,1,0,0,M,3,1
22,Male,Caucasian,Less than 25,0,0,0,F,8,0
26,Female,African-American,25 - 45,1,0,0,F,4,1
27,Male,Caucasian,25 - 45,1,0,0,F,7,1
32,Male,African-American,25 - 45,0,0,0,F,2,0
41,Male,African-American,25 - 45,1,0,0,M,2,0
30,Male,African-American,25 - 45,8,0,0,M,10,1
50,Male,Other,Greater than 45,0,0,0,F,1,1
25,Male,African-American,25 - 45,14,1,6,F,10,1
20,Male,Other,Less than 25,0,0,0,F,5,1
22,Male,African-American,Less than 25,2,1,0,F,9,1
23,Male,African-American,Less than 25,2,0,0,M,7,1
35,Female,African-American,25 - 45,1,0,0,M,2,0
36,Male,African-American,25 - 45,9,0,0,F,7,1
26,Male,Caucasian,25 - 45,7,0,0,F,8,1
21,Male,Other,Less than 25,1,0,0,F,6,1
25,Male,Caucasian,25 - 45,9,0,0,F,8,1
71,Male,African-American,Greater than 45,12,0,0,M,7,0
20,Female,Caucasian,Less than 25,0,0,0,F,7,0
39,Male,Caucasian,25 - 45,2,0,0,F,1,1
66,Male,Caucasian,Greater than 45,3,0,0,F,1,0
54,Female,Caucasian,Greater than 45,0,0,0,M,1,0
44,Female,Hispanic,25 - 45,0,0,0,M,1,0
19,Male,African-American,Less than 25,1,0,0,M,4,1
24,Male,African-American,Less than 25,1,0,0,F,2,0
30,Male,African-American,25 - 45,1,0,0,F,2,0
39,Female,Caucasian,25 - 45,0,0,0,F,1,1
24,Male,Caucasian,Less than 25,8,0,1,F,6,1
30,Male,Caucasian,25 - 45,0,0,0,F,4,0
31,Male,Caucasian,25 - 45,0,0,0,M,5,0
39,Female,Caucasian,25 - 45,1,0,0,F,4,0
59,Male,African-American,Greater than 45,14,0,0,F,9,1
43,Male,Caucasian,25 - 45,1,0,0,F,1,0
21,Male,African-American,Less than 25,3,0,0,F,9,1
38,Male,Caucasian,25 - 45,5,0,0,M,4,1
34,Male,Caucasian,25 - 45,0,0,0,F,5,0
33,Male,African-American,25 - 45,5,0,0,F,5,1
37,Male,African-American,25 - 45,3,0,0,F,2,0
42,Male,Caucasian,25 - 45,1,0,0,F,2,1
41,Male,African-American,25 - 45,10,0,1,F,9,1
22,Male,African-American,Less than 25,0,0,0,F,4,1
33,Male,African-American,25 - 45,28,0,12,F,8,1
31,Male,African-American,25 - 45,1,0,0,M,7,0
30,Female,Other,25 - 45,1,0,0,F,2,0
31,Male,Caucasian,25 - 45,13,0,0,F,10,1
27,Male,African-American,25 - 45,3,0,0,F,9,1
56,Male,African-American,Greater than 45,8,0,0,F,9,0
52,Male,Caucasian,Greater than 45,3,0,0,M,9,0
33,Male,African-American,25 - 45,19,0,0,F,10,1
64,Female,Caucasian,Greater than 45,2,0,0,M,1,0
22,Male,Caucasian,Less than 25,4,0,0,F,6,1
42,Male,Caucasian,25 - 45,6,0,0,F,3,0
25,Female,Caucasian,25 - 45,2,0,0,F,4,0
30,Male,Caucasian,25 - 45,1,0,0,M,2,0
28,Male,Caucasian,25 - 45,2,0,0,F,1,0
37,Female,Other,25 - 45,2,0,0,M,2,0
28,Male,Caucasian,25 - 45,0,0,0,M,2,1
24,Female,African-American,Less than 25,0,0,0,M,2,0
29,Female,Caucasian,25 - 45,10,0,1,F,4,1
44,Male,Caucasian,25 - 45,2,0,0,M,2,1
30,Female,Hispanic,25 - 45,4,0,0,F,5,1
32,Male,African-American,25 - 45,3,0,0,F,7,1
31,Male,Caucasian,25 - 45,2,0,0,M,3,1
31,Male,African-American,25 - 45,1,0,0,M,2,0
59,Male,Caucasian,Greater than 45,1,0,0,F,2,1
45,Female,Caucasian,Greater than 45,4,0,0,F,4,0
20,Female,African-American,Less than 25,1,1,0,F,10,0
43,Female,Caucasian,25 - 45,0,0,0,M,1,0
38,Male,African-American,25 - 45,9,1,1,F,8,1
32,Male,African-American,25 - 45,11,0,0,F,6,1
33,Male,African-American,25 - 45,8,0,0,M,5,1
31,Female,African-American,25 - 45,0,0,0,F,3,1
33,Female,African-American,25 - 45,7,0,0,F,9,1
27,Male,African-American,25 - 45,2,0,0,F,9,1
20,Female,African-American,Less than 25,0,0,0,F,6,0
26,Female,Caucasian,25 - 45,0,0,0,M,6,0
61,Female,African-American,Greater than 45,1,0,0,F,1,1
52,Male,Other,Greater than 45,13,0,0,F,7,1
63,Male,Hispanic,Greater than 45,1,0,0,F,1,0
32,Female,African-American,25 - 45,4,0,0,F,10,1
29,Male,Hispanic,25 - 45,1,0,0,F,4,0
46,Female,Other,Greater than 45,1,0,0,F,2,0
26,Female,African-American,25 - 45,2,0,0,M,4,1
55,Male,African-American,Greater than 45,3,0,0,M,1,0
39,Male,Caucasian,25 - 45,1,1,0,M,4,0
30,Female,Caucasian,25 - 45,3,0,0,F,7,1
30,Male,African-American,25 - 45,1,0,0,F,7,0
48,Male,Caucasian,Greater than 45,2,0,0,M,2,0
22,Male,African-American,Less than 25,1,0,0,F,2,0
46,Male,Caucasian,Greater than 45,6,0,0,F,1,1
49,Female,Caucasian,Greater than 45,6,0,0,F,6,0
31,Male,Caucasian,25 - 45,0,0,0,F,5,0
25,Male,African-American,25 - 45,1,0,0,M,2,1
23,Male,Hispanic,Less than 25,0,0,0,F,3,0
32,Female,African-American,25 - 45,5,0,0,F,7,0
52,Male,Hispanic,Greater than 45,2,0,0,M,1,0
62,Male,African-American,Greater than 45,8,0,0,F,4,0
37,Female,Caucasian,25 - 45,6,0,0,F,10,0
55,Male,Caucasian,Greater than 45,1,0,0,F,1,0
31,Male,Hispanic,25 - 45,8,0,0,F,9,1
28,Male,African-American,25 - 45,6,0,0,M,6,1
54,Male,Hispanic,Greater than 45,2,0,0,F,1,0
58,Male,Hispanic,Greater than 45,0,0,0,F,2,0
78,Male,Caucasian,Greater than 45,1,0,0,M,1,1
56,Male,Caucasian,Greater than 45,0,0,0,F,1,0
24,Male,Other,Less than 25,0,0,0,F,2,0
38,Male,African-American,25 - 45,22,2,2,F,8,1
22,Male,African-American,Less than 25,1,0,0,F,5,1
47,Male,African-American,Greater than 45,23,0,0,M,8,1
23,Male,African-American,Less than 25,0,0,0,M,2,1
57,Male,Hispanic,Greater than 45,1,0,0,F,1,0
38,Female,Caucasian,25 - 45,2,0,0,F,5,1
66,Male,African-American,Greater than 45,3,0,0,F,1,0
45,Male,Caucasian,Greater than 45,8,0,0,M,4,1
52,Female,Other,Greater than 45,0,0,0,M,3,1
32,Male,African-American,25 - 45,13,0,0,F,10,1
37,Male,African-American,25 - 45,2,0,0,M,9,1
39,Male,Caucasian,25 - 45,0,0,0,F,4,1
26,Male,African-American,25 - 45,9,0,0,F,9,1
45,Male,Caucasian,Greater than 45,2,0,0,F,3,0
23,Male,African-American,Less than 25,0,0,0,F,3,1
34,Male,African-American,25 - 45,2,0,0,M,2,0
23,Female,African-American,Less than 25,1,0,0,M,4,0
36,Male,Other,25 - 45,2,0,0,M,3,1
50,Male,Caucasian,Greater than 45,1,0,0,F,1,0
37,Female,Caucasian,25 - 45,0,0,0,M,3,0
44,Male,Caucasian,25 - 45,4,0,0,M,4,0
35,Female,African-American,25 - 45,23,0,1,F,9,1
24,Male,Other,Less than 25,5,0,0,F,5,1
26,Male,African-American,25 - 45,2,0,0,F,10,1
27,Male,African-American,25 - 45,0,0,0,M,2,0
28,Female,African-American,25 - 45,0,0,0,F,8,0
43,Male,Caucasian,25 - 45,11,0,0,F,5,1
28,Female,Caucasian,25 - 45,7,0,0,F,9,1
38,Male,African-American,25 - 45,2,0,0,F,1,0
27,Male,Caucasian,25 - 45,2,0,0,M,4,0
28,Female,African-American,25 - 45,1,0,0,F,9,0
56,Male,Caucasian,Greater than 45,7,0,0,F,1,1
38,Male,African-American,25 - 45,15,0,0,F,9,0
28,Male,African-American,25 - 45,2,0,0,M,5,0
45,Male,African-American,Greater than 45,3,0,0,F,6,0
28,Male,Hispanic,25 - 45,0,0,0,M,2,0
61,Male,Caucasian,Greater than 45,1,0,0,F,1,0
51,Female,Caucasian,Greater than 45,0,0,0,M,1,1
51,Male,Caucasian,Greater than 45,0,0,0,M,2,0
36,Male,Other,25 - 45,1,0,0,M,1,1
48,Male,African-American,Greater than 45,0,0,0,F,1,0
37,Male,Caucasian,25 - 45,4,0,0,F,3,1
30,Female,African-American,25 - 45,2,0,0,F,7,0
41,Female,African-American,25 - 45,5,0,0,M,6,0
27,Male,African-American,25 - 45,11,0,0,F,10,1
37,Male,African-American,25 - 45,0,0,0,M,1,0
33,Male,Other,25 - 45,4,0,0,F,4,1
54,Male,African-American,Greater than 45,11,0,0,F,9,0
23,Male,African-American,Less than 25,2,0,0,F,9,0
26,Female,African-American,25 - 45,2,0,0,F,4,1
41,Male,African-American,25 - 45,0,0,0,M,1,0
52,Male,Caucasian,Greater than 45,0,0,0,F,1,0
43,Male,Caucasian,25 - 45,13,0,0,F,4,1
52,Male,African-American,Greater than 45,0,0,0,F,4,0
28,Male,Caucasian,25 - 45,1,0,0,F,1,0
30,Male,African-American,25 - 45,11,0,0,M,9,1
28,Male,Caucasian,25 - 45,1,0,0,F,5,0
22,Male,African-American,Less than 25,0,0,0,F,4,0
30,Male,African-American,25 - 45,4,0,0,F,2,0
25,Male,Hispanic,25 - 45,4,0,0,F,4,0
31,Male,Caucasian,25 - 45,0,0,0,F,8,1
37,Male,Caucasian,25 - 45,0,0,0,F,2,1
32,Male,African-American,25 - 45,14,0,1,F,9,0
26,Male,African-American,25 - 45,4,0,1,M,8,0
53,Male,Caucasian,Greater than 45,1,0,0,M,1,0
28,Male,African-American,25 - 45,25,0,0,F,8,1
44,Male,Caucasian,25 - 45,8,0,0,M,5,1
25,Male,African-American,25 - 45,0,0,0,F,3,0
22,Male,Caucasian,Less than 25,1,0,0,M,8,1
37,Female,Other,25 - 45,0,0,0,M,1,0
40,Female,Other,25 - 45,3,0,0,F,2,0
36,Male,Caucasian,25 - 45,8,0,0,F,7,1
30,Male,Caucasian,25 - 45,4,0,0,F,2,0
22,Male,African-American,Less than 25,3,0,0,M,9,1
24,Female,Caucasian,Less than 25,1,0,0,M,7,1
27,Male,African-American,25 - 45,3,0,0,M,2,1
31,Female,Hispanic,25 - 45,0,0,0,M,2,0
23,Male,Hispanic,Less than 25,1,0,0,F,6,1
23,Female,Caucasian,Less than 25,5,0,0,F,5,1
24,Male,Hispanic,Less than 25,0,0,0,M,8,0
29,Male,African-American,25 - 45,1,0,0,M,3,0
20,Male,African-American,Less than 25,1,0,0,F,8,1
30,Male,African-American,25 - 45,2,0,0,F,6,1
39,Male,Other,25 - 45,0,0,0,F,1,0
27,Male,African-American,25 - 45,4,0,0,F,4,0
31,Male,Caucasian,25 - 45,2,0,0,M,4,0
37,Female,African-American,25 - 45,2,0,0,F,1,0
20,Male,African-American,Less than 25,0,0,0,F,8,0
22,Male,Hispanic,Less than 25,0,0,0,F,7,0
52,Female,African-American,Greater than 45,0,0,0,F,1,0
23,Female,African-American,Less than 25,0,0,0,F,4,1
48,Female,African-American,Greater than 45,0,0,0,F,2,0
66,Male,African-American,Greater than 45,8,0,0,F,6,1
25,Male,Caucasian,25 - 45,0,0,0,F,5,0
27,Male,Caucasian,25 - 45,0,0,0,F,6,1
30,Male,African-American,25 - 45,11,0,0,F,7,1
22,Male,African-American,Less than 25,3,0,1,M,10,1
22,Female,Caucasian,Less than 25,1,0,0,F,3,0
35,Male,African-American,25 - 45,2,0,0,F,10,0
32,Male,Caucasian,25 - 45,2,0,0,F,4,0
41,Female,African-American,25 - 45,2,0,0,M,3,0
25,Female,Other,25 - 45,0,0,0,F,2,0
44,Male,African-American,25 - 45,24,0,0,M,7,0
52,Male,African-American,Greater than 45,3,0,0,F,6,1
43,Male,African-American,25 - 45,0,0,0,F,1,0
37,Male,Caucasian,25 - 45,3,0,0,F,1,0
28,Male,African-American,25 - 45,3,0,0,M,4,1
70,Male,Caucasian,Greater than 45,1,0,0,M,1,0
54,Male,Caucasian,Greater than 45,6,0,0,F,2,1
46,Male,Caucasian,Greater than 45,3,0,0,F,4,0
21,Male,African-American,Less than 25,0,0,0,M,9,1
26,Male,African-American,25 - 45,1,0,0,M,8,1
38,Male,Hispanic,25 - 45,3,0,0,F,1,1
34,Male,Caucasian,25 - 45,5,0,0,M,4,0
19,Male,African-American,Less than 25,1,0,0,F,5,1
34,Male,African-American,25 - 45,5,0,0,M,4,0
23,Male,Caucasian,Less than 25,0,0,0,F,5,1
34,Male,African-American,25 - 45,5,0,0,F,4,1
30,Male,African-American,25 - 45,2,0,0,F,1,0
39,Male,African-American,25 - 45,6,0,0,F,3,1
24,Male,Other,Less than 25,0,0,0,F,3,0
33,Male,Caucasian,25 - 45,1,0,0,M,3,1
58,Male,Caucasian,Greater than 45,2,0,0,F,3,0
21,Female,African-American,Less than 25,0,0,0,M,6,0
21,Male,African-American,Less than 25,1,0,0,F,5,0
23,Male,African-American,Less than 25,4,0,0,M,8,1
62,Male,Caucasian,Greater than 45,0,0,0,F,1,0
27,Male,African-American,25 - 45,4,1,0,M,8,1
37,Male,Caucasian,25 - 45,5,0,0,F,3,0
43,Male,Other,25 - 45,2,0,0,F,2,1
32,Female,African-American,25 - 45,5,0,0,F,1,0
23,Male,Hispanic,Less than 25,0,0,0,F,3,0
27,Male,African-American,25 - 45,0,0,0,M,1,0
44,Male,Caucasian,25 - 45,0,0,0,M,1,1
28,Male,Caucasian,25 - 45,3,0,0,M,3,1
42,Female,Caucasian,25 - 45,0,0,0,F,2,0
24,Male,Other,Less than 25,9,0,1,F,10,1
27,Male,African-American,25 - 45,0,0,0,F,2,0
20,Male,African-American,Less than 25,0,0,0,F,10,1
51,Female,Caucasian,Greater than 45,0,0,0,M,1,0
56,Male,Caucasian,Greater than 45,0,0,0,M,1,0
29,Male,African-American,25 - 45,7,0,0,F,9,0
20,Male,African-American,Less than 25,0,0,0,F,9,1
53,Male,Caucasian,Greater than 45,6,0,0,F,1,0
27,Male,Caucasian,25 - 45,8,0,0,F,5,0
24,Male,African-American,Less than 25,2,0,1,F,9,1
53,Male,Caucasian,Greater than 45,36,0,0,F,6,1
28,Male,Caucasian,25 - 45,2,0,0,M,3,1
45,Male,African-American,Greater than 45,1,0,0,F,1,0
21,Male,Hispanic,Less than 25,3,0,1,F,5,0
36,Female,African-American,25 - 45,0,0,0,F,7,0
25,Female,Caucasian,25 - 45,2,0,0,M,4,1
23,Female,Hispanic,Less than 25,1,0,0,M,3,0
28,Male,Caucasian,25 - 45,1,0,0,F,5,0
21,Female,African-American,Less than 25,0,0,0,F,8,1
36,Male,Caucasian,25 - 45,0,0,0,M,3,0
24,Male,African-American,Less than 25,0,0,0,F,3,0
28,Male,African-American,25 - 45,3,0,0,F,6,1
30,Male,Other,25 - 45,1,0,0,F,2,1
29,Male,African-American,25 - 45,0,0,0,F,1,0
30,Female,Caucasian,25 - 45,0,0,0,M,6,0
51,Male,Hispanic,Greater than 45,1,0,0,M,1,0
33,Male,Other,25 - 45,3,0,0,F,1,0
25,Female,African-American,25 - 45,2,0,0,F,6,0
32,Male,African-American,25 - 45,12,0,1,F,9,1
23,Male,African-American,Less than 25,1,0,0,F,6,0
47,Male,African-American,Greater than 45,3,0,0,F,3,0
32,Female,Hispanic,25 - 45,1,0,0,F,3,1
37,Male,Caucasian,25 - 45,0,0,0,F,1,0
19,Male,African-American,Less than 25,2,0,2,F,10,1
27,Male,Hispanic,25 - 45,0,0,0,M,8,0
39,Male,Other,25 - 45,0,0,0,M,1,0
21,Female,Caucasian,Less than 25,0,0,0,F,6,0
69,Male,Caucasian,Greater than 45,0,0,0,M,1,0
21,Male,Caucasian,Less than 25,2,0,0,F,6,0
26,Male,African-American,25 - 45,6,0,0,M,10,1
22,Male,Caucasian,Less than 25,0,0,0,F,4,0
23,Female,African-American,Less than 25,0,0,0,F,5,1
49,Male,African-American,Greater than 45,3,0,0,F,5,0
29,Male,African-American,25 - 45,2,0,0,M,4,0
60,Female,Caucasian,Greater than 45,0,0,0,M,1,0
26,Female,African-American,25 - 45,0,0,0,M,10,0
23,Male,African-American,Less than 25,3,2,0,F,10,1
34,Male,Hispanic,25 - 45,2,0,0,M,5,1
20,Female,Other,Less than 25,1,1,0,F,4,0
36,Male,Hispanic,25 - 45,1,0,0,F,3,0
30,Male,Caucasian,25 - 45,0,0,0,F,4,0
21,Male,African-American,Less than 25,1,0,1,F,3,0
22,Male,Caucasian,Less than 25,2,0,0,M,6,1
57,Male,African-American,Greater than 45,18,0,0,F,8,0
21,Male,African-American,Less than 25,4,0,0,F,9,1
21,Male,African-American,Less than 25,0,0,0,F,5,1
34,Male,Caucasian,25 - 45,1,0,0,M,1,0
50,Female,Caucasian,Greater than 45,1,0,0,M,1,1
40,Male,Caucasian,25 - 45,0,0,0,F,7,1
25,Male,African-American,25 - 45,7,0,0,F,8,1
53,Female,Caucasian,Greater than 45,1,0,0,M,1,0
24,Female,African-American,Less than 25,0,0,0,F,4,0
42,Male,African-American,25 - 45,1,0,0,F,1,0
28,Male,African-American,25 - 45,1,0,0,M,3,0
24,Male,Caucasian,Less than 25,1,0,0,M,4,0
26,Male,African-American,25 - 45,6,1,1,F,8,1
22,Male,African-American,Less than 25,4,0,0,F,9,1
21,Male,Caucasian,Less than 25,3,0,0,M,7,0
37,Male,African-American,25 - 45,23,0,0,F,9,1
35,Male,African-American,25 - 45,2,0,0,F,5,0
53,Male,African-American,Greater than 45,2,0,0,F,1,0
60,Male,African-American,Greater than 45,1,0,0,F,1,0
29,Male,African-American,25 - 45,7,0,0,F,4,0
48,Male,Caucasian,Greater than 45,23,1,0,F,8,1
52,Female,Caucasian,Greater than 45,0,0,0,M,1,0
27,Male,African-American,25 - 45,12,0,0,F,8,1
28,Male,African-American,25 - 45,5,0,0,F,9,0
33,Male,Caucasian,25 - 45,3,0,0,M,3,0
28,Female,Hispanic,25 - 45,0,0,0,F,2,0
47,Male,Caucasian,Greater than 45,5,0,0,F,10,1
36,Male,African-American,25 - 45,14,0,0,F,7,1
29,Male,African-American,25 - 45,2,1,0,F,5,0
22,Male,African-American,Less than 25,0,0,0,M,9,1
26,Male,African-American,25 - 45,6,0,0,F,7,0
25,Male,Caucasian,25 - 45,0,0,0,F,2,0
68,Male,Caucasian,Greater than 45,2,0,0,F,1,0
56,Male,African-American,Greater than 45,5,0,0,F,3,0
27,Male,African-American,25 - 45,9,0,0,F,8,1
52,Male,Caucasian,Greater than 45,4,0,0,F,1,1
32,Male,African-American,25 - 45,3,0,0,F,2,0
60,Male,Other,Greater than 45,4,0,0,F,1,0
23,Male,Hispanic,Less than 25,1,0,0,M,3,0
39,Female,Caucasian,25 - 45,0,0,0,M,6,0
56,Male,Caucasian,Greater than 45,0,0,0,M,1,0
22,Female,African-American,Less than 25,0,0,0,F,7,0
27,Female,African-American,25 - 45,1,0,0,F,2,1
53,Male,African-American,Greater than 45,11,0,0,F,6,0
25,Male,Caucasian,25 - 45,0,0,0,M,2,1
21,Male,Hispanic,Less than 25,0,0,0,M,3,0
22,Male,Caucasian,Less than 25,0,0,0,F,3,0
58,Female,Caucasian,Greater than 45,2,0,0,M,1,0
31,Male,African-American,25 - 45,7,0,0,M,3,1
22,Male,Caucasian,Less than 25,1,0,0,F,5,1
28,Male,African-American,25 - 45,8,0,0,F,6,1
42,Male,Other,25 - 45,1,0,0,F,1,0
20,Male,African-American,Less than 25,0,0,0,F,7,1
29,Male,Caucasian,25 - 45,0,0,0,M,6,1
29,Male,African-American,25 - 45,8,0,0,F,10,0
58,Male,African-American,Greater than 45,21,0,0,M,7,1
22,Male,African-American,Less than 25,3,0,0,F,7,0
48,Male,Hispanic,Greater than 45,1,0,0,M,1,1
37,Male,Caucasian,25 - 45,0,0,0,F,4,0
57,Male,African-American,Greater than 45,1,0,0,F,5,1
27,Male,Caucasian,25 - 45,3,0,0,M,1,0
26,Male,African-American,25 - 45,3,0,0,F,4,0
24,Male,Caucasian,Less than 25,3,0,1,F,8,1
33,Male,Caucasian,25 - 45,0,0,0,F,1,0
29,Male,African-American,25 - 45,2,0,0,F,6,0
24,Female,African-American,Less than 25,3,0,0,F,10,1
19,Male,Caucasian,Less than 25,1,0,0,F,10,1
36,Male,Caucasian,25 - 45,2,0,0,M,1,0
24,Female,Caucasian,Less than 25,0,0,0,F,5,0
34,Male,Caucasian,25 - 45,0,0,0,M,1,0
25,Male,Hispanic,25 - 45,2,0,0,F,5,1
20,Male,African-American,Less than 25,1,1,0,F,10,1
28,Male,Hispanic,25 - 45,2,0,0,M,5,1
24,Male,African-American,Less than 25,1,0,0,M,2,1
61,Male,Caucasian,Greater than 45,4,0,0,F,1,0
50,Female,African-American,Greater than 45,3,0,0,F,2,0
30,Male,African-American,25 - 45,1,0,0,M,1,0
38,Male,African-American,25 - 45,5,0,0,F,3,0
24,Male,Caucasian,Less than 25,0,0,0,M,1,0
45,Male,African-American,Greater than 45,16,0,0,F,2,0
46,Female,African-American,Greater than 45,2,0,0,F,10,1
41,Male,Caucasian,25 - 45,0,0,0,M,1,1
20,Male,Other,Less than 25,0,0,0,F,8,1
27,Male,African-American,25 - 45,13,0,0,M,8,1
51,Female,African-American,Greater than 45,16,0,0,F,8,0
26,Male,African-American,25 - 45,1,0,0,M,6,1
29,Male,African-American,25 - 45,3,0,0,F,5,1
52,Male,Caucasian,Greater than 45,6,0,0,F,5,1
28,Male,Caucasian,25 - 45,1,0,0,F,4,1
34,Female,Native American,25 - 45,4,0,0,F,7,1
55,Male,African-American,Greater than 45,5,0,0,F,3,1
26,Male,African-American,25 - 45,10,1,1,F,9,1
28,Male,African-American,25 - 45,5,0,0,F,10,0
63,Male,Caucasian,Greater than 45,2,0,0,F,1,0
42,Male,African-American,25 - 45,0,0,0,F,1,0
23,Male,African-American,Less than 25,6,1,2,F,6,0
54,Male,African-American,Greater than 45,28,0,0,F,9,1
35,Male,African-American,25 - 45,8,0,0,F,7,1
24,Female,African-American,Less than 25,6,1,0,F,9,1
54,Male,African-American,Greater than 45,2,0,0,M,1,0
58,Male,African-American,Greater than 45,12,0,0,M,6,1
23,Male,Caucasian,Less than 25,1,0,0,M,5,1
35,Male,African-American,25 - 45,1,0,0,M,2,0
20,Male,African-American,Less than 25,1,0,0,F,10,1
51,Male,Caucasian,Greater than 45,0,0,0,F,1,0
24,Male,Hispanic,Less than 25,0,0,0,F,10,0
37,Male,Caucasian,25 - 45,3,0,0,F,2,0
47,Male,Caucasian,Greater than 45,3,0,0,F,1,0
34,Male,Caucasian,25 - 45,4,0,0,F,6,1
56,Male,Caucasian,Greater than 45,0,0,0,F,1,0
34,Male,Hispanic,25 - 45,4,0,0,F,1,1
59,Male,Caucasian,Greater than 45,1,0,0,F,1,1
35,Male,Asian,25 - 45,0,0,0,F,6,0
58,Male,Hispanic,Greater than 45,1,0,0,F,1,0
29,Male,Hispanic,25 - 45,2,0,0,M,4,0
24,Female,Caucasian,Less than 25,6,0,0,F,9,1
21,Male,Caucasian,Less than 25,2,0,0,M,9,1
26,Male,African-American,25 - 45,2,0,0,M,9,0
50,Male,Asian,Greater than 45,5,0,0,F,7,1
26,Male,African-American,25 - 45,1,0,0,F,2,0
30,Female,Caucasian,25 - 45,0,0,0,M,2,0
29,Male,Caucasian,25 - 45,6,0,0,F,9,1
29,Male,Caucasian,25 - 45,0,0,0,M,4,1
54,Male,African-American,Greater than 45,0,0,0,M,1,0
